Boudh,Kamira,7.91,1080.0,542,335,393,44,55,92,0.8,480,59,55,1.4,0,81.58815673014571,3
Nayagarh,Kanasingi(Rajkiari),7.93,1490.0,782,438,416,71,64,109,47.6,507,192,50,0.55,0,77.90952085167834,3
Ganjam,Gudiali,8.3,1200.0,634,213,358,26,36,185,0.8,436,136,37,1.18,0,72.88252462441731,2
Sambalpur,Majhipal,7.97,120.0,54,33,35,6,5,4,4.7,42,10,2,0.22,1,22.612697266356392,0
Sambalpur,Nagadihi Chawk,8.04,140.0,60,37,45,6,6,8,1.5,55,7,4,0.39,1,28.98261719507373,1
Koraput,Baipariguda,7.23,190.0,95,69,79,24,2,10,1.5,96,10,1,0.12,1,9.752694540609808,0
Kendujhar,Harichandanpur,8.15,725.0,376,285,166,46,41,31,18.0,203,103,36,0.19,0,37.10088961801903,1
Nayagarh,Bherupada,7.9,1580.0,785,438,252,47,79,118,40.7,308,266,84,0.07,0,50.19260487685032,2
Puri,Sadanadapur,8.17,1940.0,1084,291,474,16,60,285,45.9,567,257,142,0.25,0,64.21670748210363,2
Jajpur,Ambasar,7.18,110.0,54,43,25,10,5,4,1.4,31,17,3,0.18,1,11.785604689755976,0
Bargarh,Burda,7.07,490.0,246,152,163,36,15,43,0.0,199,34,21,0.38,1,21.409502821558142,0
Nayagarh,Badapandeswar,7.9,910.0,498,222,193,59,18,59,77.2,236,121,49,0.18,0,77.02293860107216,3
Bargarh,Batetarma,7.22,600.0,318,127,79,42,5,67,14.0,97,101,42,0.23,0,25.240237001259846,1
Mayurbhanj,Jamda,8.43,910.0,514,221,219,39,30,72,59.9,267,106,58,0.14,0,67.40625524876047,2
Sundargarh,R-23 Sector-3,8.56,480.0,241,162,127,43,13,28,10.0,94,60,11,0.19,0,32.00773933710863,1
Dhenkanal,Hatwari,7.58,630.0,306,275,240,56,33,16,2.8,293,43,12,0.23,0,22.684441110145926,0
Angul,Godibandha,7.54,310.0,157,100,85,20,12,21,4.8,104,43,5,0.12,1,15.589983985177376,0
Sonepur,Cherupali,8.26,520.0,269,151,162,50,6,39,3.0,197,50,24,0.66,1,46.38557846541317,1
Cuttack,Netaji nagar,7.25,450.0,223,164,139,34,19,22,10.5,170,42,12,0.2,1,22.246424658298086,0
Sambalpur,Rupapali,8.09,640.0,318,218,149,51,22,44,3.1,182,101,9,0.65,1,45.84872213999696,1
Khordha,B-31 Unit-9,6.82,450.0,242,149,127,38,13,28,8.5,155,45,33,0.08,1,11.209156413981754,0
Khordha,B-48 Dumuduma,6.92,330.0,158,104,100,14,17,25,2.1,122,40,0,0.06,1,5.907261340789935,0
Jajpur,Jajpur,7.6,720.0,379,240,225,67,17,34,22.6,275,65,37,0.11,0,30.952028162085405,1
Khordha,B-15 Bomikhal,7.84,470.0,262,118,121,42,3,43,15.1,148,55,31,0.16,0,27.704228346236054,1
Mayurbhanj,Naujara,8.18,250.0,124,118,104,43,3,1,0.1,127,14,1,0.23,1,22.395441436499592,0
Kendujhar,Akul,7.72,195.0,115,85,59,20,9,8,4.0,72,38,2,0.21,1,20.33491777614176,0
Kendujhar,Mathadai,7.73,345.0,179,175,112,44,16,2,1.4,137,38,10,0.3,1,24.0456390318986,0
Sundargarh,Birangtoli,8.1,350.0,169,158,140,44,12,3,3.2,171,17,6,0.21,1,23.960292283250073,0
Cuttack,Sikharpur,7.44,910.0,454,308,307,64,36,40,48.0,375,72,10,0.13,0,50.958408319669225,2
Mayurbhanj,Jamsola,7.7,220.0,124,59,43,24,0,20,3.7,52,43,8,0.16,1,17.000797245495804,0
Sonepur,Palspada,8.0,730.0,385,332,129,47,51,12,6.6,154,141,53,0.35,0,35.70253035895791,1
Puri,Jogeswarpur,7.75,340.0,196,82,134,12,12,21,35.2,160,29,9,0.05,0,36.44851262830187,1
Balangir,Dumalpada,7.49,440.0,236,124,102,32,11,31,21.3,125,48,32,0.3,0,36.22039881663539,1
Sonepur,Khaliapali,7.94,1040.0,544,354,119,106,21,66,14.0,146,201,64,0.71,0,56.98965389528436,2
Rayagada,Dambasara,7.52,1270.0,656,229,386,49,26,106,86.7,471,127,31,0.28,0,86.86930805097231,3
Cuttack,Bidhyadharpur,7.05,780.0,378,333,269,76,35,19,10.9,328,27,49,0.1,0,18.93163475165562,0
Mayurbhanj,Talia,7.92,460.0,242,158,124,36,17,20,19.6,151,60,20,0.15,0,32.05759528012778,1
Mayurbhanj,Dukura,7.51,330.0,189,94,67,22,10,34,4.1,81,67,10,0.09,1,13.335608341067603,0
Kendujhar,Bimala,7.97,410.0,207,170,112,44,15,5,10.1,137,55,11,0.23,1,29.13377154733813,1
Koraput,Randapalli-Bj-I,7.05,120.0,56,45,45,12,4,5,0.7,55,7,0,0.18,1,10.210846716522637,0
Bargarh,Chuchinda,7.28,470.0,225,176,163,60,6,17,9.0,199,26,9,0.32,1,26.677941393334862,1
Sambalpur,Sahaspur,7.94,3310.0,1553,1262,269,253,154,140,2.0,328,754,89,0.25,0,42.133043775829854,1
Balangir,Dudokasar,8.1,1570.0,789,358,137,70,45,161,26.4,167,322,82,0.27,0,48.46358561066206,1
Sambalpur,Baduapali,8.12,520.0,236,168,187,30,23,25,2.2,228,24,20,0.59,1,42.16275050757477,1
Kendujhar,Katalaposhi,7.96,305.0,174,140,112,42,9,10,3.6,137,38,5,0.29,1,26.5364966712209,1
Sonepur,Nandanmal,7.48,1540.0,765,528,396,129,50,76,3.3,483,241,27,0.86,0,56.21122295729637,2
Nayagarh,Benagadia,8.23,1490.0,855,172,495,55,9,96,232.1,604,116,50,0.37,0,203.5143276760647,3
Ganjam,Dadralunda,8.15,750.0,395,193,267,33,27,82,5.2,325,87,2,0.46,0,39.46006878901279,1
Dhenkanal,Hindol1,7.65,610.0,302,255,185,34,41,20,3.5,226,61,31,0.24,1,24.26542216380124,0
Mayurbhanj,Asanbani,7.75,260.0,135,127,110,29,13,1,0.1,134,12,14,0.13,1,14.614254480003693,0
Sonepur,Subaliya,7.53,560.0,262,230,245,42,30,13,0.5,299,14,13,0.65,0,39.78759738600054,1
Nuapada,Loharpalli,8.2,880.0,439,398,237,39,72,19,2.2,283,151,17,0.32,0,34.49962409888318,1
Ganjam,K.S.Nagar,7.82,2530.0,1378,604,305,94,90,168,171.4,372,593,80,0.13,0,151.74290315221413,3
Kalahandi,Badbasul,8.27,2970.0,1682,450,610,42,84,474,3.4,744,280,434,3.32,0,183.07002162765284,3
Malkangiri,Bejaguda,7.56,340.0,171,129,157,28,15,20,0.4,192,10,3,0.24,1,18.782777923547194,0
Angul,Bagharia,7.57,1070.0,571,330,175,60,44,90,4.3,214,192,76,0.4,0,33.178565795927916,1
Mayurbhanj,Deoli,7.73,260.0,154,89,86,20,10,20,5.0,105,45,1,0.11,1,16.67952957236914,0
Ganjam,Aska,7.81,450.0,251,157,110,43,12,28,8.8,134,68,25,0.38,1,33.80665864793346,1
Jharsuguda,Chadnimal,7.17,200.0,112,90,85,24,7,14,2.2,118,15,2,0.39,1,22.94462376913295,0
Sonepur,Sakama,7.89,1010.0,523,343,100,69,42,64,17.0,122,201,71,0.74,0,60.90318336349205,2
Sambalpur,Badsahir,7.71,1870.0,871,670,289,91,108,86,9.7,352,318,79,0.49,0,48.92422274472775,1
Koraput,Jeypore1,7.22,640.0,303,223,183,48,25,33,0.4,223,86,1,0.11,1,11.360453818408669,0
Kandhamal,Kandhamal-1,8.3,420.0,218,148,118,41,11,20,10.7,142,62,4,0.15,1,28.243148030683475,1
Khordha,B-25 Sainik School,6.94,230.0,126,69,72,14,8,19,3.2,88,35,3,0.05,1,5.590406730641047,0
Kalahandi,Dalguma,8.09,800.0,410,340,285,72,39,20,10.0,348,87,12,0.24,0,33.82233211538032,1
Jagatsinghpur,Nuapole bazar,8.02,330.0,174,139,145,40,9,14,0.7,177,19,3,0.2,1,20.71401413029295,0
Mayurbhanj,Nechuapada,7.48,60.0,125,35,52,8,4,17,3.8,64,22,0,0.08,1,11.377002864722874,0
Puri,Dandamukundapur,7.85,1750.0,867,335,473,76,38,95,138.0,577,182,56,0.18,0,124.77470855315505,3
Jharsuguda,Brajrajnagar,7.4,290.0,137,70,30,20,5,30,3.6,77,35,30,0.14,1,13.850124922975729,0
Balangir,Jamut,8.06,1680.0,1035,269,258,44,39,191,256.0,315,277,74,0.46,0,225.78880953654664,3
